Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,
LP002362,Male,Yes,1.0,Graduate,No,7250.0,1667.0,110.0,0.0,Urban,N,
LP002364,Male,Yes,0.0,Graduate,No,14880.0,0.0,96.0,360.0,1.0,Semiurban,Y,
LP002366,Male,Yes,0.0,Graduate,No,2666.0,4300.0,121.0,360.0,1.0,Rural,Y,
LP002367,Female,No,1.0,Not Graduate,No,4606.0,0.0,81.0,360.0,1.0,Rural,N,
LP002368,Male,Yes,2.0,Graduate,No,5935.0,0.0,133.0,360.0,1.0,Semiurban,Y,
LP002369,Male,Yes,0.0,Graduate,No,2920.0,16.12000084,87.0,360.0,1.0,Rural,Y,
LP002370,Male,No,0.0,Not Graduate,No,2717.0,0.0,60.0,180.0,1.0,Urban,Y,
LP002377,Female,No,1.0,Graduate,Yes,8624.0,0.0,150.0,360.0,1.0,Semiurban,Y,
LP002379,Male,No,0.0,Graduate,No,6500.0,0.0,105.0,360.0,0.0,Rural,N,
LP002386,Male,No,0.0,Graduate,12876.0,0.0,405.0,360.0,1.0,Semiurban,Y,
LP002387,Male,Yes,0.0,Graduate,No,2425.0,2340.0,143.0,360.0,1.0,Semiurban,Y,
LP002390,Male,No,0.0,Graduate,No,3750.0,0.0,100.0,360.0,1.0,Urban,Y,
LP002393,Female,Graduate,No,10047.0,0.0,240.0,1.0,Semiurban,Y,
LP002398,Male,No,0.0,Graduate,No,1926.0,1851.0,50.0,360.0,1.0,Semiurban,Y,
LP002401,Male,Yes,0.0,Graduate,No,2213.0,1125.0,360.0,1.0,Urban,Y,
LP002403,Male,No,0.0,Graduate,Yes,10416.0,0.0,187.0,360.0,0.0,Urban,N,
LP002407,Female,Yes,0.0,Not Graduate,Yes,7142.0,0.0,138.0,360.0,1.0,Rural,Y,
LP002408,Male,No,0.0,Graduate,No,3660.0,5064.0,187.0,360.0,1.0,Semiurban,Y,
LP002409,Male,Yes,0.0,Graduate,No,7901.0,1833.0,180.0,360.0,1.0,Rural,Y,
LP002418,Male,No,3+,Not Graduate,No,4707.0,1993.0,148.0,360.0,1.0,Semiurban,Y,
LP002422,Male,No,1.0,Graduate,No,37719.0,0.0,152.0,360.0,1.0,Semiurban,Y,
LP002424,Male,Yes,0.0,Graduate,No,7333.0,8333.0,175.0,300.0,Rural,Y,
LP002429,Male,Yes,1.0,Graduate,Yes,3466.0,1210.0,130.0,360.0,1.0,Rural,Y,
LP002434,Male,Yes,2.0,Not Graduate,No,4652.0,0.0,110.0,360.0,1.0,Rural,Y,
LP002435,Male,Yes,0.0,Graduate,3539.0,1376.0,55.0,360.0,1.0,Rural,N,
LP002443,Male,Yes,2.0,Graduate,No,3340.0,1710.0,150.0,360.0,0.0,Rural,N,
LP002444,Male,No,1.0,Not Graduate,Yes,2769.0,1542.0,190.0,360.0,Semiurban,N,
LP002446,Male,Yes,2.0,Not Graduate,No,2309.0,1255.0,125.0,360.0,0.0,Rural,N,
LP002447,Male,Yes,2.0,Not Graduate,No,1958.0,1456.0,60.0,300.0,Urban,Y,
LP002448,Male,Yes,0.0,Graduate,No,3948.0,1733.0,149.0,360.0,0.0,Rural,N,
LP002449,Male,Yes,0.0,Graduate,No,2483.0,2466.0,90.0,180.0,0.0,Rural,Y,
LP002453,Male,No,0.0,Graduate,Yes,7085.0,0.0,84.0,360.0,1.0,Semiurban,Y,
LP002455,Male,Yes,2.0,Graduate,No,3859.0,0.0,96.0,360.0,1.0,Semiurban,Y,
LP002459,Male,Yes,0.0,Graduate,No,4301.0,0.0,118.0,360.0,1.0,Urban,Y,
LP002467,Male,Yes,0.0,Graduate,No,3708.0,2569.0,173.0,360.0,1.0,Urban,N,
LP002472,Male,No,2.0,Graduate,No,4354.0,0.0,136.0,360.0,1.0,Rural,Y,
LP002473,Male,Yes,0.0,Graduate,No,8334.0,0.0,160.0,360.0,1.0,Semiurban,N,
LP002478,Yes,0.0,Graduate,Yes,2083.0,4083.0,160.0,360.0,Semiurban,Y,
LP002484,Male,Yes,3+,Graduate,No,7740.0,0.0,128.0,180.0,1.0,Urban,Y,
LP002487,Male,Yes,0.0,Graduate,No,3015.0,2188.0,153.0,360.0,1.0,Rural,Y,
LP002489,Female,No,1.0,Not Graduate,5191.0,0.0,132.0,360.0,1.0,Semiurban,Y,
LP002493,Male,No,0.0,Graduate,No,4166.0,0.0,98.0,360.0,0.0,Semiurban,N,
LP002494,Male,No,0.0,Graduate,No,6000.0,0.0,140.0,360.0,1.0,Rural,Y,
LP002500,Male,Yes,3+,Not Graduate,No,2947.0,1664.0,70.0,180.0,0.0,Urban,N,
LP002501,Yes,0.0,Graduate,No,16692.0,0.0,110.0,360.0,1.0,Semiurban,Y,
LP002502,Female,Yes,2.0,Not Graduate,210.0,2917.0,98.0,360.0,1.0,Semiurban,Y,
LP002505,Male,Yes,0.0,Graduate,No,4333.0,2451.0,110.0,360.0,1.0,Urban,N,
LP002515,Male,Yes,1.0,Graduate,Yes,3450.0,2079.0,162.0,360.0,1.0,Semiurban,Y,
LP002517,Male,Yes,1.0,Not Graduate,No,2653.0,1500.0,113.0,180.0,0.0,Rural,N,
LP002519,Male,Yes,3+,Graduate,No,4691.0,0.0,100.0,360.0,1.0,Semiurban,Y,
LP002522,Female,No,0.0,Graduate,Yes,2500.0,0.0,93.0,360.0,Urban,Y,
LP002524,Male,No,2.0,Graduate,No,5532.0,4648.0,162.0,360.0,1.0,Rural,Y,
LP002527,Male,Yes,2.0,Graduate,Yes,16525.0,1014.0,150.0,360.0,1.0,Rural,Y,
LP002529,Male,Yes,2.0,Graduate,No,6700.0,1750.0,230.0,300.0,1.0,Semiurban,Y,
LP002530,Yes,2.0,Graduate,No,2873.0,1872.0,132.0,360.0,0.0,Semiurban,N,
LP002531,Male,Yes,1.0,Graduate,Yes,16667.0,2250.0,86.0,360.0,1.0,Semiurban,Y,
LP002533,Male,Yes,2.0,Graduate,No,2947.0,1603.0,360.0,1.0,Urban,N,
LP002534,Female,No,0.0,Not Graduate,No,4350.0,0.0,154.0,360.0,1.0,Rural,Y,
LP002536,Male,Yes,3+,Not Graduate,No,3095.0,0.0,113.0,360.0,1.0,Rural,Y,
LP002537,Male,Yes,0.0,Graduate,No,2083.0,3150.0,128.0,360.0,1.0,Semiurban,Y,
LP002541,Male,Yes,0.0,Graduate,No,10833.0,0.0,234.0,360.0,1.0,Semiurban,Y,
LP002543,Male,Yes,2.0,Graduate,No,8333.0,0.0,246.0,360.0,1.0,Semiurban,Y,
LP002544,Male,Yes,1.0,Not Graduate,No,1958.0,2436.0,131.0,360.0,1.0,Rural,Y,
LP002545,Male,No,2.0,Graduate,No,3547.0,0.0,80.0,360.0,0.0,Rural,N,
LP002547,Male,Yes,1.0,Graduate,No,18333.0,0.0,500.0,360.0,1.0,Urban,N,
LP002555,Male,Yes,2.0,Graduate,Yes,4583.0,2083.0,160.0,360.0,1.0,Semiurban,Y,
LP002556,Male,No,0.0,Graduate,No,2435.0,0.0,75.0,360.0,1.0,Urban,N,
LP002560,Male,No,0.0,Not Graduate,No,2699.0,2785.0,96.0,360.0,Semiurban,Y,
LP002562,Male,Yes,1.0,Not Graduate,No,5333.0,1131.0,186.0,360.0,Urban,Y,
LP002571,Male,No,0.0,Not Graduate,No,3691.0,0.0,110.0,360.0,1.0,Rural,Y,
LP002582,Female,No,0.0,Not Graduate,Yes,17263.0,0.0,225.0,360.0,1.0,Semiurban,Y,
LP002585,Male,Yes,0.0,Graduate,No,3597.0,2157.0,119.0,360.0,0.0,Rural,N,
LP002586,Female,Yes,1.0,Graduate,No,3326.0,913.0,105.0,84.0,1.0,Semiurban,Y,
LP002587,Male,Yes,0.0,Not Graduate,No,2600.0,1700.0,107.0,360.0,1.0,Rural,Y,
LP002588,Male,Yes,0.0,Graduate,No,4625.0,2857.0,111.0,12.0,Urban,Y,
LP002600,Male,Yes,1.0,Graduate,Yes,2895.0,0.0,95.0,360.0,1.0,Semiurban,Y,
LP002602,Male,No,0.0,Graduate,No,6283.0,4416.0,209.0,360.0,0.0,Rural,N,
LP002603,Female,No,0.0,Graduate,No,645.0,3683.0,113.0,480.0,1.0,Rural,Y,
LP002606,Female,No,0.0,Graduate,No,3159.0,0.0,100.0,360.0,1.0,Semiurban,Y,
LP002615,Male,Yes,2.0,Graduate,No,4865.0,5624.0,208.0,360.0,1.0,Semiurban,Y,
LP002618,Male,Yes,1.0,Not Graduate,No,4050.0,5302.0,138.0,360.0,Rural,N,
LP002619,Male,Yes,0.0,Not Graduate,No,3814.0,1483.0,124.0,300.0,1.0,Semiurban,Y,
LP002622,Male,Yes,2.0,Graduate,No,3510.0,4416.0,243.0,360.0,1.0,Rural,Y,
LP002624,Male,Yes,0.0,Graduate,No,20833.0,6667.0,480.0,360.0,Urban,Y,
LP002625,No,0.0,Graduate,No,3583.0,0.0,96.0,360.0,1.0,Urban,N,
LP002626,Male,Yes,0.0,Graduate,Yes,2479.0,3013.0,188.0,360.0,1.0,Urban,Y,
LP002634,Female,No,1.0,Graduate,No,13262.0,0.0,40.0,360.0,1.0,Urban,Y,
LP002637,Male,No,0.0,Not Graduate,No,3598.0,1287.0,100.0,360.0,1.0,Rural,N,
LP002640,Male,Yes,1.0,Graduate,No,6065.0,2004.0,250.0,360.0,1.0,Semiurban,Y,
LP002643,Male,Yes,2.0,Graduate,No,3283.0,2035.0,148.0,360.0,1.0,Urban,Y,
LP002648,Male,Yes,0.0,Graduate,No,2130.0,6666.0,70.0,180.0,1.0,Semiurban,N,
LP002652,Male,No,0.0,Graduate,No,5815.0,3666.0,311.0,360.0,1.0,Rural,N,
LP002659,Male,Yes,3+,Graduate,No,3466.0,3428.0,150.0,360.0,1.0,Rural,Y,
LP002670,Female,Yes,2.0,Graduate,No,2031.0,1632.0,113.0,480.0,1.0,Semiurban,Y,
LP002682,Male,Yes,Not Graduate,No,3074.0,1800.0,123.0,360.0,0.0,Semiurban,N,
LP002683,Male,No,0.0,Graduate,No,4683.0,1915.0,185.0,360.0,1.0,Semiurban,N,
LP002684,Female,No,0.0,Not Graduate,No,3400.0,0.0,95.0,360.0,1.0,Rural,N,
LP002689,Male,Yes,2.0,Not Graduate,No,2192.0,1742.0,45.0,360.0,1.0,Semiurban,Y,
LP002690,Male,No,0.0,Graduate,No,2500.0,0.0,55.0,360.0,1.0,Semiurban,Y,
LP002692,Male,Yes,3+,Graduate,Yes,5677.0,1424.0,100.0,360.0,1.0,Rural,Y,
LP002693,Male,Yes,2.0,Graduate,Yes,7948.0,7166.0,480.0,360.0,1.0,Rural,Y,
LP002697,Male,No,0.0,Graduate,No,4680.0,2087.0,360.0,1.0,Semiurban,N,
LP002699,Male,Yes,2.0,Graduate,Yes,17500.0,0.0,400.0,360.0,1.0,Rural,Y,
LP002705,Male,Yes,0.0,Graduate,No,3775.0,0.0,110.0,360.0,1.0,Semiurban,Y,
LP002706,Male,Yes,1.0,Not Graduate,No,5285.0,1430.0,161.0,360.0,0.0,Semiurban,Y,
LP002714,Male,No,1.0,Not Graduate,No,2679.0,1302.0,94.0,360.0,1.0,Semiurban,Y,
LP002716,Male,No,0.0,Not Graduate,No,6783.0,0.0,130.0,360.0,1.0,Semiurban,Y,
LP002717,Male,Yes,0.0,Graduate,No,1025.0,5500.0,216.0,360.0,Rural,Y,
LP002720,Male,Yes,3+,Graduate,No,4281.0,0.0,100.0,360.0,1.0,Urban,Y,
LP002723,Male,No,2.0,Graduate,No,3588.0,0.0,110.0,360.0,0.0,Rural,N,
LP002729,Male,No,1.0,Graduate,No,11250.0,0.0,196.0,360.0,Semiurban,N,
LP002731,Female,No,0.0,Not Graduate,Yes,18165.0,0.0,125.0,360.0,1.0,Urban,Y,
LP002732,Male,No,0.0,Not Graduate,2550.0,2042.0,126.0,360.0,1.0,Rural,Y,
LP002734,Male,Yes,0.0,Graduate,No,6133.0,3906.0,324.0,360.0,1.0,Urban,Y,
LP002738,Male,No,2.0,Graduate,No,3617.0,0.0,107.0,360.0,1.0,Semiurban,Y,
LP002739,Male,Yes,0.0,Not Graduate,No,2917.0,536.0,66.0,360.0,1.0,Rural,N,
LP002740,Male,Yes,3+,Graduate,No,6417.0,0.0,157.0,180.0,1.0,Rural,Y,
LP002741,Female,Yes,1.0,Graduate,No,4608.0,2845.0,140.0,180.0,1.0,Semiurban,Y,
LP002743,Female,No,0.0,Graduate,No,2138.0,0.0,99.0,360.0,0.0,Semiurban,N,
LP002753,Female,No,1.0,Graduate,3652.0,0.0,95.0,360.0,1.0,Semiurban,Y,
LP002755,Male,Yes,1.0,Not Graduate,No,2239.0,2524.0,128.0,360.0,1.0,Urban,Y,
LP002757,Female,Yes,0.0,Not Graduate,No,3017.0,663.0,102.0,360.0,Semiurban,Y,
LP002767,Male,Yes,0.0,Graduate,No,2768.0,1950.0,155.0,360.0,1.0,Rural,Y,
LP002768,Male,No,0.0,Not Graduate,No,3358.0,0.0,80.0,36.0,1.0,Semiurban,N,
LP002772,Male,No,0.0,Graduate,No,2526.0,1783.0,145.0,360.0,1.0,Rural,Y,
LP002776,Female,No,0.0,Graduate,No,5000.0,0.0,103.0,360.0,0.0,Semiurban,N,
LP002777,Male,Yes,0.0,Graduate,No,2785.0,2016.0,110.0,360.0,1.0,Rural,Y,
LP002778,Male,Yes,2.0,Graduate,Yes,6633.0,0.0,360.0,0.0,Rural,N,
LP002784,Male,Yes,1.0,Not Graduate,No,2492.0,2375.0,360.0,1.0,Rural,Y,
LP002785,Male,Yes,1.0,Graduate,No,3333.0,3250.0,158.0,360.0,1.0,Urban,Y,
LP002788,Male,Yes,0.0,Not Graduate,No,2454.0,2333.0,181.0,360.0,0.0,Urban,N,
LP002789,Male,Yes,0.0,Graduate,No,3593.0,4266.0,132.0,180.0,0.0,Rural,N,
LP002792,Male,Yes,1.0,Graduate,No,5468.0,1032.0,26.0,360.0,1.0,Semiurban,Y,
LP002794,Female,No,0.0,Graduate,No,2667.0,1625.0,84.0,360.0,Urban,Y,
LP002795,Male,Yes,3+,Graduate,Yes,10139.0,0.0,260.0,360.0,1.0,Semiurban,Y,
LP002798,Male,Yes,0.0,Graduate,No,3887.0,2669.0,162.0,360.0,1.0,Semiurban,Y,
LP002804,Female,Yes,0.0,Graduate,No,4180.0,2306.0,182.0,360.0,1.0,Semiurban,Y,
LP002807,Male,Yes,2.0,Not Graduate,No,3675.0,242.0,108.0,360.0,1.0,Semiurban,Y,
LP002813,Female,Yes,1.0,Graduate,Yes,19484.0,0.0,600.0,360.0,1.0,Semiurban,Y,
LP002820,Male,Yes,0.0,Graduate,No,5923.0,2054.0,211.0,360.0,1.0,Rural,Y,
LP002821,Male,No,0.0,Not Graduate,Yes,5800.0,0.0,132.0,360.0,1.0,Semiurban,Y,
LP002832,Male,Yes,2.0,Graduate,No,8799.0,0.0,258.0,360.0,0.0,Urban,N,
LP002833,Male,Yes,0.0,Not Graduate,No,4467.0,0.0,120.0,360.0,Rural,Y,
LP002836,Male,No,0.0,Graduate,No,3333.0,0.0,70.0,360.0,1.0,Urban,Y,
LP002837,Male,Yes,3+,Graduate,No,3400.0,2500.0,123.0,360.0,0.0,Rural,N,
LP002840,Female,No,0.0,Graduate,No,2378.0,0.0,9.0,360.0,1.0,Urban,N,
LP002841,Male,Yes,0.0,Graduate,No,3166.0,2064.0,104.0,360.0,0.0,Urban,N,
LP002842,Male,Yes,1.0,Graduate,No,3417.0,1750.0,186.0,360.0,1.0,Urban,Y,
LP002847,Male,Yes,Graduate,No,5116.0,1451.0,165.0,360.0,0.0,Urban,N,
LP002855,Male,Yes,2.0,Graduate,No,16666.0,0.0,275.0,360.0,1.0,Urban,Y,
LP002862,Male,Yes,2.0,Not Graduate,No,6125.0,1625.0,187.0,480.0,1.0,Semiurban,N,
LP002863,Male,Yes,3+,Graduate,No,6406.0,0.0,150.0,360.0,1.0,Semiurban,N,
LP002868,Male,Yes,2.0,Graduate,No,3159.0,461.0,108.0,84.0,1.0,Urban,Y,
LP002872,Yes,0.0,Graduate,No,3087.0,2210.0,136.0,360.0,0.0,Semiurban,N,
LP002874,Male,No,0.0,Graduate,No,3229.0,2739.0,110.0,360.0,1.0,Urban,Y,
LP002877,Male,Yes,1.0,Graduate,No,1782.0,2232.0,107.0,360.0,1.0,Rural,Y,
LP002888,Male,No,0.0,Graduate,3182.0,2917.0,161.0,360.0,1.0,Urban,Y,
LP002892,Male,Yes,2.0,Graduate,No,6540.0,0.0,205.0,360.0,1.0,Semiurban,Y,
LP002893,Male,No,0.0,Graduate,No,1836.0,33837.0,90.0,360.0,1.0,Urban,N,
LP002894,Female,Yes,0.0,Graduate,No,3166.0,0.0,36.0,360.0,1.0,Semiurban,Y,
LP002898,Male,Yes,1.0,Graduate,No,1880.0,0.0,61.0,360.0,Rural,N,
LP002911,Male,Yes,1.0,Graduate,No,2787.0,1917.0,146.0,360.0,0.0,Rural,N,
LP002912,Male,Yes,1.0,Graduate,No,4283.0,3000.0,172.0,84.0,1.0,Rural,N,
LP002916,Male,Yes,0.0,Graduate,No,2297.0,1522.0,104.0,360.0,1.0,Urban,Y,
LP002917,Female,No,0.0,Not Graduate,No,2165.0,0.0,70.0,360.0,1.0,Semiurban,Y,
LP002925,No,0.0,Graduate,No,4750.0,0.0,94.0,360.0,1.0,Semiurban,Y,
LP002926,Male,Yes,2.0,Graduate,Yes,2726.0,0.0,106.0,360.0,0.0,Semiurban,N,
LP002928,Male,Yes,0.0,Graduate,No,3000.0,3416.0,56.0,180.0,1.0,Semiurban,Y,
LP002931,Male,Yes,2.0,Graduate,Yes,6000.0,0.0,205.0,240.0,1.0,Semiurban,N,
LP002933,No,3+,Graduate,Yes,9357.0,0.0,292.0,360.0,1.0,Semiurban,Y,
LP002936,Male,Yes,0.0,Graduate,No,3859.0,3300.0,142.0,180.0,1.0,Rural,Y,
LP002938,Male,Yes,0.0,Graduate,Yes,16120.0,0.0,260.0,360.0,1.0,Urban,Y,
LP002940,Male,No,0.0,Not Graduate,No,3833.0,0.0,110.0,360.0,1.0,Rural,Y,
LP002941,Male,Yes,2.0,Not Graduate,Yes,6383.0,1000.0,187.0,360.0,1.0,Rural,N,
LP002943,Male,No,Graduate,No,2987.0,0.0,88.0,360.0,0.0,Semiurban,N,
LP002945,Male,Yes,0.0,Graduate,Yes,9963.0,0.0,180.0,360.0,1.0,Rural,Y,
LP002948,Male,Yes,2.0,Graduate,No,5780.0,0.0,192.0,360.0,1.0,Urban,Y,
LP002949,Female,No,3+,Graduate,416.0,41667.0,350.0,180.0,Urban,N,
LP002950,Male,Yes,0.0,Not Graduate,2894.0,2792.0,155.0,360.0,1.0,Rural,Y,
LP002953,Male,Yes,3+,Graduate,No,5703.0,0.0,128.0,360.0,1.0,Urban,Y,
LP002958,Male,No,0.0,Graduate,No,3676.0,4301.0,172.0,360.0,1.0,Rural,Y,
LP002959,Female,Yes,1.0,Graduate,No,12000.0,0.0,496.0,360.0,1.0,Semiurban,Y,
LP002960,Male,Yes,0.0,Not Graduate,No,2400.0,3800.0,180.0,1.0,Urban,N,
LP002961,Male,Yes,1.0,Graduate,No,3400.0,2500.0,173.0,360.0,1.0,Semiurban,Y,
LP002964,Male,Yes,2.0,Not Graduate,No,3987.0,1411.0,157.0,360.0,1.0,Rural,Y,
LP002974,Male,Yes,0.0,Graduate,No,3232.0,1950.0,108.0,360.0,1.0,Rural,Y,
LP002978,Female,No,0.0,Graduate,No,2900.0,0.0,71.0,360.0,1.0,Rural,Y,
LP002979,Male,Yes,3+,Graduate,No,4106.0,0.0,40.0,180.0,1.0,Rural,Y,
LP002983,Male,Yes,1.0,Graduate,No,8072.0,240.0,253.0,360.0,1.0,Urban,Y,
LP002984,Male,Yes,2.0,Graduate,No,7583.0,0.0,187.0,360.0,1.0,Urban,Y,
LP002990,Female,No,0.0,Graduate,Yes,4583.0,0.0,133.0,360.0,0.0,Semiurban,N,
